Phase,Diagnostic,N,Mean,Median,StdDev,25th_Perc,75th_Perc
P1,SpeedIndex,383,0.021348242741946234,0.018612440911750863,0.01024088088693247,0.013133308102743615,0.029542410436605437
P1,CoupleIndex,383,0.16705542408400312,0.197323634979615,0.519444254429403,-0.28796846875190807,0.6408421433619982
P1,rhoE,383,2.0197827469599403,2.0310242399328753,0.19535472820453678,1.85924092954984,2.154004429934025
P1,avg_PE_system,383,0.37770910017349435,0.38273536954936477,0.0510305198543468,0.33940379650948005,0.41855989881163624
P1,avg_beta_system,383,0.6372501677522413,0.636247716039187,0.05067970656883655,0.5938455537478773,0.6817037523184968
P1,avg_fcrit_system,383,10.742680586224887,10.77684716775308,0.2339692621582914,10.5735103045104,10.927286934913377
P2,SpeedIndex,1110,0.037911072346302414,0.04105067723516826,0.014411729616512475,0.028153272978555223,0.04882584840676409
P2,CoupleIndex,1110,0.3218793918880019,0.4818822648813009,0.5632289776497349,-0.13685423510236122,0.8373343414689812
P2,rhoE,1110,2.3890525718776763,2.3694439268291294,0.13318268552257426,2.296972863928666,2.479978220194301
P2,avg_PE_system,1110,0.5095663626335298,0.5112476886768419,0.03545145973653517,0.4846326290070232,0.5354967350999671
P2,avg_beta_system,1110,0.4745932499873776,0.47103712408800635,0.03671025689241451,0.4441648900928314,0.5014467462403909
P2,avg_fcrit_system,1110,8.14279504302416,7.7969128813932835,1.0909150915218564,7.191310034086627,9.126870665804693
P3,SpeedIndex,2591,0.009829011425673276,0.008495133284579253,0.007402154430909652,0.003939139306776399,0.014146279651473647
P3,CoupleIndex,2591,0.6755442038050051,0.7647124216696698,0.27488991736800983,0.550349266119891,0.8828073895005641
P3,rhoE,2591,2.3046038877543973,2.2833363104560953,0.1168623886857055,2.220919837800855,2.3719557027516522
P3,avg_PE_system,2591,0.47039555551092627,0.47002791016503576,0.02273196285009575,0.4547939027938302,0.48545098125102687
P3,avg_beta_system,2591,0.5228183542260956,0.5225016427693726,0.015489206376525419,0.5128357691697566,0.533163064506451
P3,avg_fcrit_system,2591,7.683195407382871,7.658094702392116,0.2368639784868182,7.516721655910031,7.806069678677309
P4,SpeedIndex,2416,0.008419094206395637,0.006901429379188383,0.006314132283522101,0.0033620152043510668,0.012364211049887764
P4,CoupleIndex,2416,0.6659110253763799,0.7370053717754297,0.2728159861606628,0.5330912561615502,0.8740751767807607
P4,rhoE,2416,2.3025394889689443,2.2773733475461078,0.11879379801627213,2.220583832402804,2.3717603328493664
P4,avg_PE_system,2416,0.4704992203511534,0.47069430754365404,0.022312177490965954,0.45552255624639815,0.48554341121666245
P4,avg_beta_system,2416,0.5230742526118866,0.5237410696299669,0.013958108722876969,0.5133360640196358,0.5327659676101888
P4,avg_fcrit_system,2416,7.585712255248698,7.598597119596152,0.1540235487617604,7.480993862135219,7.693925170833282
P1,phase_duration,10,38.3,38.5,2.5317977802344327,36.5,40.75
P2,phase_duration,10,111.0,111.5,5.385164807134504,108.25,114.5
P3,phase_duration,10,259.1,260.0,4.085339643163099,259.0,260.0
P4,phase_duration,10,241.6,239.0,7.158212067269312,239.0,246.75
